,mean,std,nx_dx
0,-0.0012391688,0.00010108721,-2500.0
1,-0.0024805411,0.00020153495,-2490.0
2,-0.002484902,0.00020056793,-2480.0
3,-0.0024884029,0.00020002891,-2470.0
4,-0.002491128,0.00020091659,-2460.0
5,-0.0024937436,0.00020345331,-2450.0
6,-0.0024963426,0.00020786481,-2440.0
7,-0.002499136,0.00021429115,-2430.0
8,-0.0025022873,0.0002226119,-2420.0
9,-0.0025059746,0.00023186898,-2410.0
10,-0.002509873,0.00024107404,-2400.0
11,-0.0025139085,0.00024974343,-2390.0
12,-0.0025184453,0.00025799472,-2380.0
13,-0.0025235515,0.00026672427,-2370.0
14,-0.002529134,0.00027653665,-2360.0
15,-0.002534959,0.0002880845,-2350.0
16,-0.0025410738,0.00030155646,-2340.0
17,-0.0025476543,0.00031638765,-2330.0
18,-0.0025547117,0.00033179534,-2320.0
19,-0.0025620863,0.00034680893,-2310.0
20,-0.0025698207,0.00036141006,-2300.0
21,-0.0025780036,0.00037594064,-2290.0
22,-0.0025863121,0.00039050664,-2280.0
23,-0.002594769,0.00040500067,-2270.0
24,-0.0026036415,0.000420267,-2260.0
25,-0.0026130273,0.0004372356,-2250.0
26,-0.002623006,0.0004555512,-2240.0
27,-0.002633495,0.00047392925,-2230.0
28,-0.0026446166,0.00049223006,-2220.0
29,-0.0026564747,0.00051141024,-2210.0
30,-0.0026688718,0.00053114165,-2200.0
31,-0.0026815734,0.00055083557,-2190.0
32,-0.0026945178,0.0005699206,-2180.0
33,-0.0027075044,0.0005888647,-2170.0
34,-0.0027205737,0.00060903537,-2160.0
35,-0.0027341836,0.00062983274,-2150.0
36,-0.0027484673,0.00064968294,-2140.0
37,-0.0027636264,0.00066977215,-2130.0
38,-0.0027796899,0.00069240335,-2120.0
39,-0.002796577,0.00071776204,-2110.0
40,-0.002813869,0.0007432092,-2100.0
41,-0.0028309175,0.0007667552,-2090.0
42,-0.002847772,0.0007887703,-2080.0
43,-0.0028647715,0.0008116207,-2070.0
44,-0.002882107,0.00083511294,-2060.0
45,-0.002900139,0.000856766,-2050.0
46,-0.0029191815,0.0008775065,-2040.0
47,-0.0029392776,0.0009010508,-2030.0
48,-0.0029604007,0.0009303672,-2020.0
49,-0.0029821524,0.0009626135,-2010.0
50,-0.0030036487,0.000992679,-2000.0
51,-0.0030247287,0.0010176708,-1990.0
52,-0.0030460425,0.0010410009,-1980.0
53,-0.0030681083,0.0010683762,-1970.0
54,-0.0030908748,0.0010962762,-1960.0
55,-0.0031140775,0.0011200402,-1950.0
56,-0.003137845,0.0011439489,-1940.0
57,-0.0031628641,0.0011751795,-1930.0
58,-0.0031893,0.0012133381,-1920.0
59,-0.003216211,0.0012482239,-1910.0
60,-0.003242747,0.0012752333,-1900.0
61,-0.0032692198,0.001300644,-1890.0
62,-0.0032964542,0.0013330318,-1880.0
63,-0.0033244467,0.0013694715,-1870.0
64,-0.0033523769,0.0013996996,-1860.0
65,-0.0033800323,0.001425251,-1850.0
66,-0.0034084937,0.001454508,-1840.0
67,-0.0034390152,0.0014903808,-1830.0
68,-0.0034713044,0.0015278152,-1820.0
69,-0.003504307,0.0015592265,-1810.0
70,-0.0035379846,0.0015892416,-1800.0
71,-0.0035726705,0.0016285058,-1790.0
72,-0.0036074463,0.0016752861,-1780.0
73,-0.0036403774,0.001713935,-1770.0
74,-0.0036718291,0.001739691,-1760.0
75,-0.003704263,0.0017694889,-1750.0
76,-0.0037391041,0.0018063788,-1740.0
77,-0.0037761002,0.0018421533,-1730.0
78,-0.0038153634,0.0018765567,-1720.0
79,-0.0038575938,0.001914346,-1710.0
80,-0.0039023436,0.0019647176,-1700.0
81,-0.0039467122,0.0020212422,-1690.0
82,-0.003987045,0.0020627852,-1680.0
83,-0.004023811,0.0020907843,-1670.0
84,-0.0040616295,0.002126201,-1660.0
85,-0.0041026906,0.0021660058,-1650.0
86,-0.004145704,0.0022028722,-1640.0
87,-0.0041906713,0.0022427414,-1630.0
88,-0.004239381,0.002286799,-1620.0
89,-0.004293048,0.0023405575,-1610.0
90,-0.0043491656,0.0024043792,-1600.0
91,-0.0044012563,0.0024562785,-1590.0
92,-0.0044468804,0.0024885705,-1580.0
93,-0.004491411,0.0025241987,-1570.0
