,mean,std,nx_dx
0,-0.0015897141,0.00022862971,-2500.0
1,-0.0031834901,0.00045610106,-2490.0
2,-0.0031907172,0.00045197236,-2480.0
3,-0.003196297,0.00044589493,-2470.0
4,-0.0032007042,0.00044077638,-2460.0
5,-0.0032049401,0.0004373467,-2450.0
6,-0.0032097567,0.00043641482,-2440.0
7,-0.0032149907,0.00043875564,-2430.0
8,-0.003220991,0.0004441882,-2420.0
9,-0.0032277117,0.00045119296,-2410.0
10,-0.0032352703,0.00045764845,-2400.0
11,-0.0032440003,0.000462695,-2390.0
12,-0.0032540185,0.00046673248,-2380.0
13,-0.0032654256,0.00047033164,-2370.0
14,-0.0032781058,0.00047399403,-2360.0
15,-0.0032918965,0.0004782507,-2350.0
16,-0.0033067248,0.0004834022,-2340.0
17,-0.0033226658,0.00048951665,-2330.0
18,-0.003339621,0.0004968095,-2320.0
19,-0.0033573061,0.00050580484,-2310.0
20,-0.0033755365,0.0005165344,-2300.0
21,-0.0033949006,0.00052829547,-2290.0
22,-0.0034156316,0.00054037856,-2280.0
23,-0.003437378,0.000552134,-2270.0
24,-0.0034597826,0.00056228513,-2260.0
25,-0.003482872,0.0005715605,-2250.0
26,-0.0035067128,0.00058154203,-2240.0
27,-0.003531167,0.0005924049,-2230.0
28,-0.0035564455,0.00060429977,-2220.0
29,-0.0035826054,0.00061727565,-2210.0
30,-0.003609986,0.0006307632,-2200.0
31,-0.0036388019,0.00064452755,-2190.0
32,-0.0036688116,0.0006594982,-2180.0
33,-0.0037001295,0.0006750761,-2170.0
34,-0.0037325348,0.00069047615,-2160.0
35,-0.00376574,0.0007069422,-2150.0
36,-0.0037996592,0.00072487356,-2140.0
37,-0.0038345002,0.0007425008,-2130.0
38,-0.0038707121,0.0007590055,-2120.0
39,-0.0039086067,0.0007754813,-2110.0
40,-0.003948176,0.0007929704,-2100.0
41,-0.0039894506,0.00081272284,-2090.0
42,-0.0040318454,0.0008330241,-2080.0
43,-0.0040746513,0.00085132226,-2070.0
44,-0.004117464,0.00086905994,-2060.0
45,-0.0041604396,0.0008901082,-2050.0
46,-0.0042045,0.00091288186,-2040.0
47,-0.004250129,0.0009336574,-2030.0
48,-0.0042975135,0.00095474365,-2020.0
49,-0.0043467185,0.0009785602,-2010.0
50,-0.00439736,0.0010049426,-2000.0
51,-0.0044483477,0.0010305376,-1990.0
52,-0.004499098,0.0010506538,-1980.0
53,-0.0045498298,0.0010701817,-1970.0
54,-0.004601277,0.0010949422,-1960.0
55,-0.0046540773,0.0011208392,-1950.0
56,-0.0047088866,0.0011443985,-1940.0
57,-0.0047662538,0.0011695753,-1930.0
58,-0.0048255054,0.0011991592,-1920.0
59,-0.004885858,0.0012313832,-1910.0
60,-0.004946962,0.001259996,-1900.0
61,-0.0050087837,0.0012844568,-1890.0
62,-0.0050716265,0.001310405,-1880.0
63,-0.005135476,0.0013414227,-1870.0
64,-0.0052002217,0.001373111,-1860.0
65,-0.0052660517,0.0014016267,-1850.0
66,-0.005333653,0.0014295349,-1840.0
67,-0.0054034097,0.0014586346,-1830.0
68,-0.005475077,0.0014926469,-1820.0
69,-0.0055483645,0.0015278928,-1810.0
70,-0.005622191,0.0015574216,-1800.0
71,-0.005695859,0.0015876921,-1790.0
72,-0.00576935,0.0016257155,-1780.0
73,-0.0058433,0.0016651641,-1770.0
